,Round,Home_Goals,Away_Goals,Home_Points,Away_Points,Total_Home_Goals_So_Far,Total_Away_Goals_So_Far,Cumulative_Home_Goals,Cumulative_Away_Goals,Total_Home_Points_So_Far,Total_Away_Points_So_Far,Cumulative_Home_Points,Cumulative_Away_Points
50,5,0,2,0,3,2,4,66,55,2,3,79,55
51,5,3,1,3,0,7,3,69,56,7,1,82,55
52,5,1,1,1,1,4,2,70,57,7,4,83,56
53,5,1,2,0,3,4,5,71,59,2,4,83,59
54,5,4,1,3,0,5,2,75,60,6,3,86,59
55,6,1,1,1,1,6,4,76,61,5,2,87,60
56,6,1,2,0,3,3,4,77,63,3,6,87,63
57,6,0,0,1,1,0,5,77,63,1,2,88,64
58,6,1,0,3,0,5,3,78,63,7,1,91,64
59,6,0,1,0,3,6,3,78,64,4,6,91,67
60,6,3,1,3,0,5,3,81,65,6,1,94,67
61,6,2,2,1,1,5,3,83,67,7,2,95,68
62,6,2,1,3,0,3,1,85,68,7,4,98,68
63,6,0,0,1,1,1,3,85,68,2,5,99,69
64,6,0,1,0,3,3,5,85,69,1,8,99,72
65,6,0,0,1,1,7,3,85,69,8,2,100,73
66,7,2,1,3,0,11,6,87,70,10,4,103,73
67,7,0,0,1,1,1,2,87,70,5,3,104,74
68,7,1,0,3,0,3,1,88,70,7,4,107,74
69,7,0,1,0,3,4,3,88,71,5,6,107,77
70,7,2,1,3,0,7,4,90,72,10,2,110,77
71,7,1,0,3,0,3,4,91,72,5,4,113,77
72,7,3,0,3,0,6,3,94,72,6,3,116,77
73,7,2,0,3,0,3,4,96,72,5,5,119,77
74,7,3,1,3,0,9,3,99,73,10,1,122,77
75,7,1,0,3,0,5,2,100,73,10,6,125,77
76,7,1,1,1,1,6,3,101,74,7,2,126,78
77,8,3,2,3,0,3,7,104,76,4,4,129,78
78,8,1,1,1,1,7,5,105,77,6,7,130,79
79,8,1,1,1,1,4,5,106,78,4,4,131,80
80,8,1,1,1,1,7,4,107,79,5,3,132,81
81,8,0,3,0,3,5,6,107,82,7,11,132,84
82,8,1,0,3,0,6,2,108,82,13,4,135,84
83,8,1,1,1,1,5,6,109,83,3,5,136,85
84,8,0,1,0,3,1,4,109,84,2,5,136,88
85,8,1,1,1,1,7,4,110,85,8,3,137,89
86,8,2,1,3,0,9,4,112,86,11,1,140,89
87,8,2,0,3,0,7,3,114,86,9,1,143,89
88,9,2,2,1,1,3,4,116,88,6,6,144,90
89,9,2,1,3,0,6,4,118,89,8,6,147,90
90,9,1,0,3,0,4,4,119,89,8,1,150,90
91,9,0,0,1,1,7,4,119,89,11,5,151,91
92,9,1,1,1,1,4,2,120,90,8,3,152,92
93,9,0,0,1,1,3,4,120,90,6,2,153,93
94,9,3,0,3,0,14,6,123,90,13,2,156,93
95,9,0,2,0,3,3,7,123,92,1,9,156,96
96,9,1,2,0,3,4,3,124,94,7,7,156,99
97,9,1,0,3,0,7,3,125,94,9,2,159,99
98,9,1,0,3,0,2,4,126,94,5,3,162,99
99,10,2,1,3,0,9,5,128,95,11,4,165,99
100,10,0,1,0,3,7,6,128,96,6,6,165,102
101,10,5,0,3,0,9,5,133,96,7,3,168,102
102,10,2,1,3,0,5,8,135,97,7,4,171,102
103,10,1,1,1,1,8,5,136,98,6,8,172,103
104,10,4,1,3,0,9,7,140,99,6,5,175,103
105,10,4,1,3,0,10,3,144,100,16,6,178,103
106,10,1,2,0,3,8,5,145,102,9,14,178,106
107,10,2,0,3,0,11,4,147,102,14,4,181,106
108,10,3,0,3,0,12,3,150,102,13,1,184,106
109,10,2,3,0,3,16,9,152,105,13,8,184,109
110,11,2,3,0,3,8,7,154,108,8,5,184,112
111,11,2,1,3,0,5,5,156,109,9,2,187,112
112,11,2,3,0,3,11,8,158,112,7,10,187,115
113,11,1,0,3,0,5,2,159,112,11,1,190,115
114,11,0,0,1,1,7,3,159,112,10,5,191,116
115,11,2,2,1,1,11,9,161,114,7,4,192,117
116,11,1,1,1,1,5,4,162,115,8,6,193,118
117,11,1,1,1,1,3,5,163,116,6,7,194,119
118,11,0,2,0,3,3,9,163,118,1,9,194,122
119,11,1,1,1,1,6,7,164,119,8,10,195,123
120,11,1,2,0,3,5,6,165,121,8,5,195,126
121,12,2,2,1,1,9,6,167,123,12,5,196,127
122,12,3,3,1,1,10,9,170,126,7,7,197,128
123,12,0,1,0,3,8,6,170,127,6,9,197,131
124,12,1,0,3,0,6,8,171,127,10,8,200,131
125,12,2,2,1,1,10,7,173,129,10,4,201,132
126,12,1,1,1,1,10,6,174,130,12,4,202,133
127,12,1,0,3,0,4,4,175,130,9,1,205,133
128,12,1,0,3,0,13,3,176,130,16,14,208,133
129,12,1,1,1,1,12,5,177,131,15,5,209,134
130,12,1,1,1,1,17,10,178,132,14,6,210,135
131,12,0,2,0,3,10,5,178,134,16,11,210,138
132,13,2,1,3,0,7,6,180,135,12,10,213,138
133,13,3,0,3,0,10,3,183,135,13,6,216,138
134,13,2,1,3,0,10,8,185,136,11,1,219,138
135,13,2,2,1,1,8,9,187,138,9,8,220,139
